RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
134,Bryan Colula,mx MEX,DF,Mazatlán,26,1996,21.5,887,744,142,6,2,5,52,136,0,0,0,0,623,1,24,Partidos
135,Francisco Contreras,mx MEX,"DF,CC",Tijuana,23,1999,7.8,429,355,73,11,0,0,45,42,20,4,14,0,309,1,13,Partidos
136,José Corona,mx MEX,PO,Cruz Azul,41,1981,23.0,680,411,266,56,0,1,0,0,0,0,0,0,515,3,0,Partidos
137,George Corral,mx MEX,"DF,CC",Puebla,32,1990,3.0,206,189,17,8,0,3,1,9,0,0,0,0,183,0,2,Partidos
138,Rogelio Cortéz Pineda,mx MEX,CC,Necaxa,18,2004,1.6,77,70,6,2,0,1,4,3,1,0,1,0,58,1,1,Partidos
139,Jordi Cortizo,mx MEX,"CC,DL",Puebla,26,1996,13.5,523,516,7,3,5,5,13,3,1,1,0,0,425,0,15,Partidos
140,Jordi Cortizo,mx MEX,"CC,DL",Monterrey,26,1996,4.2,191,185,6,1,1,1,5,1,4,1,1,0,169,0,2,Partidos
141,Rodolfo Cota,mx MEX,PO,León,35,1987,34.0,1117,688,427,126,0,1,0,0,0,0,0,0,842,2,1,Partidos
142,Aldo Cruz,mx MEX,DF,Atlético,24,1997,14.5,631,480,149,17,0,7,25,132,0,0,0,0,469,2,11,Partidos
143,Jürgen Damm,mx MEX,"DL,CC",América,29,1992,1.0,52,51,1,0,0,0,14,1,0,0,0,0,34,0,1,Partidos
144,Jorge Daniel Hernández,mx MEX,CC,Querétaro,33,1989,13.9,615,592,23,23,0,7,0,0,0,0,0,0,524,0,9,Partidos
145,Juan David Castro,mx MEX,"CC,DL",Atlético,30,1991,4.0,159,151,8,3,1,1,9,2,2,0,2,0,127,0,5,Partidos
