RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
545,Jorge Torres Nilo,mx MEX,"DF,DL",Toluca,34,1988,2.1,125,122,2,1,0,1,0,1,0,0,0,0,110,1,0,Partidos
546,Raúl Torres Rodríguez,mx MEX,DF,Querétaro,25,1996,1.9,94,73,20,2,0,0,7,18,0,0,0,0,83,1,2,Partidos
547,Christopher Trejo,mx MEX,"DL,CC",Atlas,22,1999,8.2,283,252,31,6,0,0,25,5,14,5,8,0,226,0,8,Partidos
548,Lucas Trezza,uy URU,CC,Atlas,25,1997,0.6,23,23,0,0,0,1,2,0,0,0,0,0,18,0,1,Partidos
549,Santiago Trigos,mx MEX,CC,UNAM,20,2002,3.4,152,148,2,1,0,1,2,0,1,1,0,0,117,2,5,Partidos
550,Héctor Uribe,mx MEX,DF,León,18,2004,1.7,86,71,15,4,0,0,8,11,0,0,0,0,75,0,1,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
551,Agustín Urzi,ar ARG,"CC,DL",FC Juárez,22,2000,5.3,167,153,14,4,1,1,25,5,5,2,3,0,124,0,16,Partidos
552,Óscar Ustari,ar ARG,PO,Pachuca,36,1986,30.5,906,597,307,52,0,2,0,2,0,0,0,0,612,2,2,Partidos
553,Diego Valdés,cl CHI,"CC,DL",América,28,1994,27.7,1262,1157,95,31,21,12,52,5,27,17,6,0,1027,10,23,Partidos
554,Bruno Valdez,py PAR,DF,América,29,1992,6.1,259,251,8,8,0,3,0,0,0,0,0,0,215,0,1,Partidos
555,Carlos Valenzuela,ar ARG,"CC,DL",Tijuana,25,1997,10.7,450,375,72,27,2,6,97,7,37,9,20,0,288,3,16,Partidos
556,José Van Rankin,mx MEX,DF,Necaxa,29,1993,15.6,740,576,163,8,1,12,24,155,0,0,0,0,551,1,11,Partidos
557,Camilo Vargas,co COL,PO,Atlas,33,1989,29.1,1124,765,354,88,0,2,0,0,0,0,0,0,765,5,0,Partidos
558,Ivo Vázquez,mx MEX,"DF,CC",Puebla,21,2000,5.4,211,183,27,2,1,3,27,25,0,0,0,0,143,1,10,Partidos
559,Alexis Vega,mx MEX,"DL,CC",Guadalajara,24,1997,22.6,854,718,127,37,8,26,126,18,65,27,33,0,602,9,17,Partidos
560,Sebastián Vegas,cl CHI,DF,Monterrey,25,1996,18.6,771,680,90,20,1,7,9,55,0,0,0,0,587,1,11,Partidos
561,Efraín Velarde,mx MEX,DF,UNAM,36,1986,3.8,150,122,28,3,0,0,7,23,2,0,1,0,117,0,1,Partidos
562,Jesus Velasco,mx MEX,DF,Necaxa,16,2006,0.0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,Partidos
563,Emiliano Velázquez,uy URU,DF,FC Juárez,28,1994,8.4,269,254,12,10,0,7,1,2,0,0,0,0,210,3,3,Partidos
564,Jesús Venegas,mx MEX,"CC,DL",Toluca,27,1995,5.2,304,301,3,2,0,1,0,1,0,0,0,0,260,0,3,Partidos
565,Érik Vera,mx MEX,DF,Querétaro,30,1992,1.8,71,58,13,3,0,1,6,9,1,0,1,0,59,0,2,Partidos
566,Álvaro Verda,mx MEX,"DL,DF",Querétaro,23,1999,0.8,18,18,0,0,0,0,1,0,0,0,0,0,11,0,1,Partidos
567,Duván Vergara,co COL,"CC,DL",Monterrey,25,1996,2.2,102,88,13,1,1,1,10,2,10,5,2,0,70,1,8,Partidos
568,Néstor Vidrio,mx MEX,DF,Mazatlán,33,1989,25.4,1147,1044,100,89,0,13,1,6,0,0,0,0,947,3,6,Partidos
569,Nicolás Vikonis,uy URU,PO,Mazatlán,38,1984,21.5,703,453,248,50,0,0,0,0,0,0,0,0,505,2,0,Partidos
570,Oscar Villa,mx MEX,DF,León,21,2001,4.6,203,163,40,2,1,3,10,38,0,0,0,0,156,0,4,Partidos
571,Patrick Villa,mx MEX,DF,Puebla,18,2003,0.9,50,36,14,0,0,0,0,14,0,0,0,0,40,0,2,Partidos
572,Dieter Villalpando,mx MEX,"CC,DL",Atlético,30,1991,11.1,505,460,44,15,1,1,40,4,23,3,15,0,386,1,13,Partidos
573,Dieter Villalpando,mx MEX,"CC,DL",Necaxa,30,1991,7.7,334,311,21,8,1,6,27,3,10,2,6,0,248,2,10,Partidos
574,Sergio Villarreal,mx MEX,DF,Monterrey,22,2000,0.3,10,6,4,0,0,0,0,4,0,0,0,0,6,0,0,Partidos
575,Federico Viñas,uy URU,"DL,CC",América,24,1998,5.9,153,144,5,0,2,1,2,2,0,0,0,0,102,4,3,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
576,Isaías Violante,mx MEX,"CC,DL",Toluca,18,2003,1.7,75,68,7,1,0,2,3,6,0,0,0,0,56,0,3,Partidos
577,Vitinho,br BRA,"DL,CC",Atlético,21,2001,17.0,461,445,14,0,1,8,29,8,6,3,0,0,343,2,11,Partidos
578,Tiago Volpi,br BRA,PO,Toluca,31,1990,32.0,1184,868,310,63,0,11,0,1,0,0,0,0,881,6,2,Partidos
579,Facundo Waller,uy URU,"DL,CC",Atlético,25,1997,15.0,448,383,62,18,3,12,54,14,26,9,10,0,290,3,14,Partidos
580,Facundo Waller,uy URU,"CC,DL",Puebla,25,1997,9.2,292,274,18,5,1,9,14,7,2,1,0,0,232,0,7,Partidos
581,Édgar Yoel Bárcenas,pa PAN,"DL,CC",Mazatlán,28,1993,22.7,774,735,37,3,0,5,80,20,14,5,8,0,583,2,13,Partidos
582,Paolo Yrizar,mx MEX,DL,Guadalajara,24,1997,0.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Partidos
583,Ángel Zaldívar,mx MEX,DL,Atlético,28,1994,7.8,161,148,13,0,3,0,2,1,0,0,0,0,112,0,9,Partidos
584,Ángel Zaldívar,mx MEX,DL,Guadalajara,28,1994,8.5,144,127,16,0,0,0,1,1,0,0,0,0,108,1,3,Partidos
585,Edgar Zaldívar,mx MEX,CC,Atlas,25,1996,18.3,770,746,23,14,3,10,10,6,3,0,2,0,631,1,12,Partidos
586,Ángel Zapata,mx MEX,CC,Monterrey,21,2001,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Partidos
587,Alejandro Zendejas,us USA,"DL,CC",América,24,1998,20.7,944,854,86,17,5,7,90,17,52,23,17,0,739,4,23,Partidos
588,José Zúñiga,co COL,DL,Querétaro,28,1994,10.9,194,187,7,0,0,1,9,0,1,0,1,0,120,0,13,Partidos
