RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
230,Enrique Gomez,mx MEX,CC,Toluca,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
231,Jaime Gómez Valencia,mx MEX,"CC,DF",FC Juárez,29,1993,20,11,796,8.8,0,1,1,0,0,0,0,0,0.4,0.4,0.2,0.6,13,46,59,0.00,0.11,0.11,0.00,0.11,0.05,0.02,0.07,0.05,0.07,Partidos
232,Alfonso González,mx MEX,"CC,DL",Monterrey,27,1994,34,28,2279,25.3,10,8,18,10,0,0,0,0,7.9,7.9,4.9,12.8,41,111,170,0.39,0.32,0.71,0.39,0.71,0.31,0.19,0.50,0.31,0.50,Partidos
233,Bryan González,mx MEX,"DF,CC",Pachuca,19,2003,8,0,176,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,3,6,11,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Partidos
234,Pablo González Díaz,mx MEX,CC,Puebla,30,1992,11,7,644,7.2,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,2,45,4,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Partidos
235,Hugo González Durán,mx MEX,PO,Necaxa,31,1990,16,16,1440,16.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
236,Carlos González Espínola,py PAR,DL,Toluca,29,1993,31,26,2159,24.0,9,1,10,8,1,1,1,0,9.2,8.4,0.7,9.1,23,37,111,0.38,0.04,0.42,0.33,0.38,0.38,0.03,0.41,0.35,0.38,Partidos
237,Fernando González,mx MEX,CC,UANL,21,2001,1,0,13,0.1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.1,1,2,1,0.00,6.92,6.92,0.00,6.92,0.24,0.32,0.56,0.24,0.56,Partidos
238,Jair González,mx MEX,"CC,DF",Santos,20,2002,26,17,1359,15.1,0,1,1,0,0,0,1,0,0.4,0.4,1.6,2.0,42,44,104,0.00,0.07,0.07,0.00,0.07,0.03,0.10,0.13,0.03,0.13,Partidos
239,José González,mx MEX,"DL,CC",Guadalajara,23,1998,13,5,493,5.5,1,0,1,1,0,0,1,0,2.4,2.4,0.3,2.7,5,2,29,0.18,0.00,0.18,0.18,0.18,0.43,0.05,0.48,0.43,0.48,Partidos
240,José González,mx MEX,DL,UNAM,17,2004,2,2,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,10,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
241,Lucas González,ar ARG,CC,Santos,22,2000,11,5,426,4.7,1,1,2,1,0,0,2,2,0.3,0.3,0.7,1.0,13,29,18,0.21,0.21,0.42,0.21,0.42,0.06,0.16,0.22,0.06,0.22,Partidos
242,Fernando Gorriarán,uy URU,CC,Santos,27,1994,16,16,1374,15.3,3,5,8,0,3,3,8,0,3.5,1.2,2.2,3.4,25,133,59,0.20,0.33,0.52,0.00,0.33,0.23,0.14,0.38,0.08,0.22,Partidos
243,Fernando Gorriarán,uy URU,"CC,DL",UANL,27,1994,15,14,1098,12.2,2,2,4,2,0,0,1,0,2.0,2.0,4.2,6.1,23,75,109,0.16,0.16,0.33,0.16,0.33,0.16,0.34,0.50,0.16,0.50,Partidos
244,Ismael Govea,mx MEX,DF,Tijuana,25,1997,27,25,2291,25.5,0,1,1,0,0,0,4,0,0.4,0.4,1.3,1.7,23,116,72,0.00,0.04,0.04,0.00,0.04,0.01,0.05,0.07,0.01,0.07,Partidos
