RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos
578,Tiago Volpi,br BRA,PO,Toluca,31,1990,32.0,881,1184,74.4,28656,20721,131,132,99.2,359,369,97.3,388,672,57.7,0,0.0,0.1,0.0,0,37,0,0,1,Partidos
579,Facundo Waller,uy URU,"DL,CC",Atlético,25,1997,15.0,290,448,64.7,5636,1588,116,146,79.5,121,175,69.1,45,92,48.9,2,1.6,1.3,+0.4,21,37,17,5,44,Partidos
580,Facundo Waller,uy URU,"CC,DL",Puebla,25,1997,9.2,232,292,79.5,4593,1004,111,127,87.4,77,100,77.0,42,51,82.4,1,0.7,0.6,+0.3,10,40,8,2,32,Partidos
581,Édgar Yoel Bárcenas,pa PAN,"DL,CC",Mazatlán,28,1993,22.7,583,774,75.3,9786,2507,285,332,85.8,230,293,78.5,52,106,49.1,4,3.6,3.6,+0.4,40,52,25,10,80,Partidos
582,Paolo Yrizar,mx MEX,DL,Guadalajara,24,1997,0.2,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Partidos
583,Ángel Zaldívar,mx MEX,DL,Atlético,28,1994,7.8,112,161,69.6,1481,373,61,79,77.2,34,46,73.9,4,9,44.4,1,0.9,0.6,+0.1,12,13,3,0,18,Partidos
584,Ángel Zaldívar,mx MEX,DL,Guadalajara,28,1994,8.5,108,144,75.0,1545,327,62,80,77.5,27,32,84.4,9,12,75.0,0,0.8,0.3,-0.8,6,5,5,0,13,Partidos
585,Edgar Zaldívar,mx MEX,CC,Atlas,25,1996,18.3,631,770,81.9,11523,2588,272,316,86.1,256,297,86.2,90,123,73.2,0,0.5,0.8,-0.5,11,60,8,1,55,Partidos
586,Ángel Zapata,mx MEX,CC,Monterrey,21,2001,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Partidos
587,Alejandro Zendejas,us USA,"DL,CC",América,24,1998,20.7,739,944,78.3,12052,3447,380,431,88.2,286,341,83.9,55,119,46.2,4,4.1,5.2,-0.1,27,75,42,6,103,Partidos
588,José Zúñiga,co COL,DL,Querétaro,28,1994,10.9,120,194,61.9,1742,277,73,95,76.8,36,59,61.0,6,9,66.7,1,0.4,0.4,+0.6,10,10,3,1,12,Partidos
